"Sex","Province or County","CensusYear","Statistic Label","UNIT","VALUE"
"Male","Clare","1961","Annual Rate of Population Increase","No. per 1000 Pop.","-9.8"
"Male","Clare","1966","Population","Number","38667"
"Male","Clare","1966","Population Change since previous Census","Number","-237"
"Male","Clare","1966","Annual Rate of Population Increase","No. per 1000 Pop.","-1.2"
"Male","Clare","1971","Population","Number","39002"
"Male","Clare","1971","Population Change since previous Census","Number","335"
"Male","Clare","1971","Annual Rate of Population Increase","No. per 1000 Pop.","1.7"
"Male","Clare","1979","Population","Number","43945"
"Male","Clare","1979","Population Change since previous Census","Number","4943"
"Male","Clare","1979","Annual Rate of Population Increase","No. per 1000 Pop.","15"
"Male","Clare","1981","Population","Number","45366"
"Male","Clare","1981","Population Change since previous Census","Number","1421"
"Male","Clare","1981","Annual Rate of Population Increase","No. per 1000 Pop.","16"
"Male","Clare","1986","Population","Number","46913"
"Male","Clare","1986","Population Change since previous Census","Number","1547"
"Male","Clare","1986","Annual Rate of Population Increase","No. per 1000 Pop.","6.7"
"Male","Clare","1991","Population","Number","46367"
"Male","Clare","1991","Population Change since previous Census","Number","-546"
"Male","Clare","1991","Annual Rate of Population Increase","No. per 1000 Pop.","-2.3"
"Male","Clare","1996","Population","Number","47789"
"Male","Clare","1996","Population Change since previous Census","Number","1422"
"Male","Clare","1996","Annual Rate of Population Increase","No. per 1000 Pop.","6.1"
"Male","Clare","2002","Population","Number","52063"
"Male","Clare","2002","Population Change since previous Census","Number","4274"
"Male","Clare","2002","Annual Rate of Population Increase","No. per 1000 Pop.","14.4"
"Male","Clare","2006","Population","Number","56048"
"Male","Clare","2006","Population Change since previous Census","Number","3985"
"Male","Clare","2006","Annual Rate of Population Increase","No. per 1000 Pop.","18.6"
"Male","Clare","2011","Population","Number","58298"
"Male","Clare","2011","Population Change since previous Census","Number","2250"
"Male","Clare","2011","Annual Rate of Population Increase","No. per 1000 Pop.","7.9"
"Male","Clare","2016","Population","Number","58785"
"Male","Clare","2016","Population Change since previous Census","Number","487"
"Male","Clare","2016","Annual Rate of Population Increase","No. per 1000 Pop.","1.7"
"Male","Cork","1841","Population","Number","420551"
"Male","Cork","1841","Population Change since previous Census","Number",""
"Male","Cork","1841","Annual Rate of Population Increase","No. per 1000 Pop.",""
"Male","Cork","1851","Population","Number","318149"
"Male","Cork","1851","Population Change since previous Census","Number","-102402"
"Male","Cork","1851","Annual Rate of Population Increase","No. per 1000 Pop.","-27.5"
"Male","Cork","1861","Population","Number","269637"
"Male","Cork","1861","Population Change since previous Census","Number","-48512"
"Male","Cork","1861","Annual Rate of Population Increase","No. per 1000 Pop.","-16.4"
"Male","Cork","1871","Population","Number","256062"
"Male","Cork","1871","Population Change since previous Census","Number","-13575"
"Male","Cork","1871","Annual Rate of Population Increase","No. per 1000 Pop.","-5.2"
"Male","Cork","1881","Population","Number","246044"
"Male","Cork","1881","Population Change since previous Census","Number","-10018"
"Male","Cork","1881","Annual Rate of Population Increase","No. per 1000 Pop.","-4"
"Male","Cork","1891","Population","Number","219988"
"Male","Cork","1891","Population Change since previous Census","Number","-26056"
"Male","Cork","1891","Annual Rate of Population Increase","No. per 1000 Pop.","-11.1"
"Male","Cork","1901","Population","Number","202297"
"Male","Cork","1901","Population Change since previous Census","Number","-17691"
"Male","Cork","1901","Annual Rate of Population Increase","No. per 1000 Pop.","-8.3"
"Male","Cork","1911","Population","Number","197516"
"Male","Cork","1911","Population Change since previous Census","Number","-4781"
"Male","Cork","1911","Annual Rate of Population Increase","No. per 1000 Pop.","-2.4"
"Male","Cork","1926","Population","Number","183192"
"Male","Cork","1926","Population Change since previous Census","Number","-14324"
"Male","Cork","1926","Annual Rate of Population Increase","No. per 1000 Pop.","-5"
"Male","Cork","1936","Population","Number","179620"
"Male","Cork","1936","Population Change since previous Census","Number","-3572"
"Male","Cork","1936","Annual Rate of Population Increase","No. per 1000 Pop.","-2"
"Male","Cork","1946","Population","Number","171110"
"Male","Cork","1946","Population Change since previous Census","Number","-8510"
"Male","Cork","1946","Annual Rate of Population Increase","No. per 1000 Pop.","-4.8"
"Male","Cork","1951","Population","Number","170865"
"Male","Cork","1951","Population Change since previous Census","Number","-245"
"Male","Cork","1951","Annual Rate of Population Increase","No. per 1000 Pop.","-0.3"
"Male","Cork","1956","Population","Number","167952"
"Male","Cork","1956","Population Change since previous Census","Number","-2913"
"Male","Cork","1956","Annual Rate of Population Increase","No. per 1000 Pop.","-3.4"
"Male","Cork","1961","Population","Number","164708"
"Male","Cork","1961","Population Change since previous Census","Number","-3244"
"Male","Cork","1961","Annual Rate of Population Increase","No. per 1000 Pop.","-3.9"
"Male","Cork","1966","Population","Number","170010"
"Male","Cork","1966","Population Change since previous Census","Number","5302"
"Male","Cork","1966","Annual Rate of Population Increase","No. per 1000 Pop.","6.4"
"Male","Cork","1971","Population","Number","176786"
"Male","Cork","1971","Population Change since previous Census","Number","6776"
"Male","Cork","1971","Annual Rate of Population Increase","No. per 1000 Pop.","7.8"
"Male","Cork","1979","Population","Number","199146"
"Male","Cork","1979","Population Change since previous Census","Number","22360"
"Male","Cork","1979","Annual Rate of Population Increase","No. per 1000 Pop.","15"
"Male","Cork","1981","Population","Number","202388"
"Male","Cork","1981","Population Change since previous Census","Number","3242"
"Male","Cork","1981","Annual Rate of Population Increase","No. per 1000 Pop.","8.1"
"Male","Cork","1986","Population","Number","206470"
"Male","Cork","1986","Population Change since previous Census","Number","4082"
"Male","Cork","1986","Annual Rate of Population Increase","No. per 1000 Pop.","4"
"Male","Cork","1991","Population","Number","204542"
"Male","Cork","1991","Population Change since previous Census","Number","-1928"
"Male","Cork","1991","Annual Rate of Population Increase","No. per 1000 Pop.","-1.9"
"Male","Cork","1996","Population","Number","209177"
"Male","Cork","1996","Population Change since previous Census","Number","4635"
"Male","Cork","1996","Annual Rate of Population Increase","No. per 1000 Pop.","4.5"
"Male","Cork","2002","Population","Number","222317"
"Male","Cork","2002","Population Change since previous Census","Number","13140"
"Male","Cork","2002","Annual Rate of Population Increase","No. per 1000 Pop.","10.2"
"Male","Cork","2006","Population","Number","240814"
"Male","Cork","2006","Population Change since previous Census","Number","18497"
"Male","Cork","2006","Annual Rate of Population Increase","No. per 1000 Pop.","20.2"
"Male","Cork","2011","Population","Number","257470"
"Male","Cork","2011","Population Change since previous Census","Number","16656"
"Male","Cork","2011","Annual Rate of Population Increase","No. per 1000 Pop.","13.4"
"Male","Cork","2016","Population","Number","268675"
"Male","Cork","2016","Population Change since previous Census","Number","11205"
"Male","Cork","2016","Annual Rate of Population Increase","No. per 1000 Pop.","8.5"
"Male","Kerry","1841","Population","Number","147307"
"Male","Kerry","1841","Population Change since previous Census","Number",""
"Male","Kerry","1841","Annual Rate of Population Increase","No. per 1000 Pop.",""
"Male","Kerry","1851","Population","Number","116511"
"Male","Kerry","1851","Population Change since previous Census","Number","-30796"
"Male","Kerry","1851","Annual Rate of Population Increase","No. per 1000 Pop.","-23.2"
"Male","Kerry","1861","Population","Number","99999"
"Male","Kerry","1861","Population Change since previous Census","Number","-16512"
"Male","Kerry","1861","Annual Rate of Population Increase","No. per 1000 Pop.","-15.2"
"Male","Kerry","1871","Population","Number","97913"
"Male","Kerry","1871","Population Change since previous Census","Number","-2086"
"Male","Kerry","1871","Annual Rate of Population Increase","No. per 1000 Pop.","-2.1"
"Male","Kerry","1881","Population","Number","101208"
"Male","Kerry","1881","Population Change since previous Census","Number","3295"
"Male","Kerry","1881","Annual Rate of Population Increase","No. per 1000 Pop.","3.3"
"Male","Kerry","1891","Population","Number","91017"
"Male","Kerry","1891","Population Change since previous Census","Number","-10191"
"Male","Kerry","1891","Annual Rate of Population Increase","No. per 1000 Pop.","-10.6"
"Male","Kerry","1901","Population","Number","84427"
"Male","Kerry","1901","Population Change since previous Census","Number","-6590"
"Male","Kerry","1901","Annual Rate of Population Increase","No. per 1000 Pop.","-7.5"
"Male","Kerry","1911","Population","Number","81474"
"Male","Kerry","1911","Population Change since previous Census","Number","-2953"
"Male","Kerry","1911","Annual Rate of Population Increase","No. per 1000 Pop.","-3.6"
"Male","Kerry","1926","Population","Number","76863"
"Male","Kerry","1926","Population Change since previous Census","Number","-4611"
"Male","Kerry","1926","Annual Rate of Population Increase","No. per 1000 Pop.","-3.9"
"Male","Kerry","1936","Population","Number","73503"
"Male","Kerry","1936","Population Change since previous Census","Number","-3360"
"Male","Kerry","1936","Annual Rate of Population Increase","No. per 1000 Pop.","-4.5"
"Male","Kerry","1946","Population","Number","70113"
"Male","Kerry","1946","Population Change since previous Census","Number","-3390"
"Male","Kerry","1946","Annual Rate of Population Increase","No. per 1000 Pop.","-4.7"
"Male","Kerry","1951","Population","Number","66507"
"Male","Kerry","1951","Population Change since previous Census","Number","-3606"
"Male","Kerry","1951","Annual Rate of Population Increase","No. per 1000 Pop.","-10.5"
"Male","Kerry","1956","Population","Number","63965"
"Male","Kerry","1956","Population Change since previous Census","Number","-2542"
"Male","Kerry","1956","Annual Rate of Population Increase","No. per 1000 Pop.","-7.8"
"Male","Kerry","1961","Population","Number","60838"
"Male","Kerry","1961","Population Change since previous Census","Number","-3127"
"Male","Kerry","1961","Annual Rate of Population Increase","No. per 1000 Pop.","-10"
"Male","Kerry","1966","Population","Number","58674"
"Male","Kerry","1966","Population Change since previous Census","Number","-2164"
"Male","Kerry","1966","Annual Rate of Population Increase","No. per 1000 Pop.","-7.2"
"Male","Kerry","1971","Population","Number","58404"
"Male","Kerry","1971","Population Change since previous Census","Number","-270"
"Male","Kerry","1971","Annual Rate of Population Increase","No. per 1000 Pop.","-0.9"
"Male","Kerry","1979","Population","Number","62185"
"Male","Kerry","1979","Population Change since previous Census","Number","3781"
"Male","Kerry","1979","Annual Rate of Population Increase","No. per 1000 Pop.","7.9"
